Ref Probe,,0,J2:TMP117,1,J2:Si7051,2,J2:AS6221,3,J2:ADT7422,4,J1:Si7051,5,J1:AS6221,6,J1:ADT7422
Rref,Tref,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value
1.035929745E+02,,2904.491,-0.0078125,2904.497,8.856157302856445,2904.498,8.953125,2904.498,8.9375,2904.505,8.899057388305664,2904.505,-0.0078125,2904.506,8.9375
1.035929746E+02,,2904.556,-0.0078125,2904.562,8.856157302856445,2904.563,8.9375,2904.563,8.9375,2904.57,8.88833236694336,2904.57,-0.0078125,2904.571,8.9375
1.035926915E+02,,2904.621,-0.0078125,2904.627,8.856157302856445,2904.628,8.9375,2904.628,8.9375,2904.635,8.899057388305664,2904.635,-0.0078125,2904.636,8.9453125
1.035926752E+02,,2904.686,-0.0078125,2904.692,8.86688232421875,2904.693,8.9375,2904.693,8.9140625,2904.7,8.909782409667969,2904.7,-0.0078125,2904.701,8.9453125
1.035930328E+02,,2904.751,-0.0078125,2904.757,8.856157302856445,2904.758,8.9453125,2904.758,8.9140625,2904.765,8.909782409667969,2904.765,-0.0078125,2904.766,8.9453125
1.035925841E+02,,2904.816,-0.0078125,2904.822,8.86688232421875,2904.823,8.9453125,2904.823,8.9140625,2904.83,8.920507431030273,2904.83,-0.0078125,2904.831,8.9453125
1.035925855E+02,,2904.881,-0.0078125,2904.887,8.84543228149414,2904.888,8.9609375,2904.888,8.8984375,2904.895,8.899057388305664,2904.895,-0.0078125,2904.896,8.9453125
1.035927498E+02,,2904.946,-0.0078125,2904.952,8.877607345581055,2904.953,8.9609375,2904.953,8.8984375,2904.96,8.909782409667969,2904.96,-0.0078125,2904.961,8.9453125
1.035928824E+02,,2905.011,-0.0078125,2905.017,8.84543228149414,2905.018,8.9609375,2905.018,8.8984375,2905.025,8.899057388305664,2905.025,-0.0078125,2905.026,8.9453125
1.035930924E+02,,2905.076,-0.0078125,2905.082,8.877607345581055,2905.083,8.9453125,2905.083,8.8984375,2905.09,8.899057388305664,2905.09,-0.0078125,2905.091,8.953125
1.035926368E+02,,2905.141,-0.0078125,2905.147,8.88833236694336,2905.148,8.9453125,2905.148,8.90625,2905.155,8.920507431030273,2905.155,-0.0078125,2905.156,8.953125
